Measure,Sensor,tu,ts,d,acy
3,74,1320000000000,1402495994710,0.6990216,0
3,157,1320250000000,1402495994903,1.3873762,0
3,74,1320250000000,1402495994940,0.719425,0
3,157,1320500000000,1402495995150,1.3873762,0
3,74,1320500000000,1402495995187,0.8026039,0
3,157,1320750000000,1402495995397,1.3873762,0
3,74,1320750000000,1402495995432,0.80325097,0
3,157,1321000000000,1402495995652,1.3873762,0
3,74,1321000000000,1402495995704,0.8325116,0
3,157,1321250000000,1402495995903,1.4470739,0
3,74,1321250000000,1402495995951,0.8935301,0
3,157,1322000000000,1402495996150,1.4470739,0
3,74,1322000000000,1402495996199,0.9608949,0
3,157,1322250000000,1402495996398,1.4470739,0
3,74,1322250000000,1402495996448,1.1049017,0
3,157,1322500000000,1402495996651,1.4470739,0
3,74,1322500000000,1402495996696,1.1049017,0
3,157,1322750000000,1402495996899,1.4470739,0
3,74,1322750000000,1402495996946,1.1049017,0
3,157,1323000000000,1402495997154,1.4470739,0
3,74,1323000000000,1402495997193,1.0612636,0
3,157,1323250000000,1402495997399,1.4470739,0
3,74,1323250000000,1402495997443,1.0612636,0
3,157,1324000000000,1402495997660,1.4470739,0
3,74,1324000000000,1402495997706,1.0612636,0
3,157,1324250000000,1402495997907,1.4470739,0
3,74,1324250000000,1402495997951,1.0384513,0
3,157,1324500000000,1402495998152,1.4470739,0
3,74,1324500000000,1402495998210,0.9784792,0
3,157,1324750000000,1402495998401,1.4470739,0
3,74,1324750000000,1402495998449,0.9784792,0
3,157,1325000000000,1402495998658,1.4470739,0
3,74,1325000000000,1402495998701,0.9784792,0
3,157,1325250000000,1402495998908,1.4470739,0
3,74,1325250000000,1402495998945,0.9784792,0
3,157,1326000000000,1402495999156,1.4470739,0
3,74,1326000000000,1402495999196,0.9784792,0
3,157,1326250000000,1402495999400,1.4470739,0
3,74,1326250000000,1402495999442,0.9784792,0
3,157,1326500000000,1402495999656,1.4470739,0
3,74,1326500000000,1402495999686,0.9784792,0
3,157,1326750000000,1402495999899,1.4470739,0
3,74,1326750000000,1402495999938,0.9784792,0
3,157,1327000000000,1402496000154,1.4470739,0
3,74,1327000000000,1402496000202,0.9784792,0
3,157,1327250000000,1402496000407,1.4470739,0
3,74,1327250000000,1402496000450,0.9784792,0
3,157,1328000000000,1402496000657,1.4470739,0
3,74,1328000000000,1402496000696,0.9784792,0
3,157,1328250000000,1402496000906,1.4470739,0
3,74,1328250000000,1402496000952,0.9784792,0
3,157,1328500000000,1402496001152,1.4470739,0
3,74,1328500000000,1402496001198,0.9377923,0
3,157,1328750000000,1402496001406,1.4470739,0
3,74,1328750000000,1402496001449,0.9327219,0
3,157,1329000000000,1402496001650,1.4470739,0
3,74,1329000000000,1402496001695,0.9284715,0
3,157,1329250000000,1402496001900,1.4470739,0
3,74,1329250000000,1402496001945,0.9284715,0
3,157,1330000000000,1402496002149,1.3013521,0
3,74,1330000000000,1402496002194,0.9284715,0
3,157,1330250000000,1402496002401,1.2413538,0
3,74,1330250000000,1402496002457,0.9284715,0
3,157,1330500000000,1402496002656,1.2413538,0
3,74,1330500000000,1402496002701,0.9284715,0
3,157,1330750000000,1402496002903,1.2413538,0
3,74,1330750000000,1402496002951,0.9284715,0
3,157,1331000000000,1402496003151,1.2413538,0
3,74,1331000000000,1402496003200,0.9284715,0
3,157,1331250000000,1402496003398,1.3696957,0
3,74,1331250000000,1402496003452,0.9284715,0
3,157,1332000000000,1402496003649,1.3696957,0
3,74,1332000000000,1402496003697,0.83883387,0
3,157,1332250000000,1402496003898,1.3077049,0
3,74,1332250000000,1402496003949,0.8032181,0
3,157,1332500000000,1402496004156,1.1288924,0
